"id_pub";"COD_PROV";"NOMBRE_ACTUAL";"POBLACION";"SUPERFICIE";"PERIMETRO";"COD_INE_CAPITAL";"CAPITAL";"POBLACION_CAPITAL";"LONGITUD_ETRS89";"LATITUD_ETRS89";"ALTITUD"
1;"01";"Alegría-Dulantzi";2925;1994.0;35069;"01001000101";"Alegría-Dulantzi";2813;"-2,51243731";"42,83981158";568
2;"01";"Amurrio";10307;9629.0;65381;"01002000201";"Amurrio";9221;"-3,00007326";"43,05427776";219
3;"01";"Aramaio";1456;7302.0;42081;"01003000601";"Ibarra";799;"-2,56540037";"43,05119653";333
4;"01";"Artziniega";1809;2728.0;22886;"01004000101";"Artziniega";1683;"-3,12791718";"43,12084358";210
5;"01";"Armiñón";231;1297.0;24707;"01006000101";"Armiñón";112;"-2,87183475";"42,72326199";467
6;"01";"Arratzua-Ubarrundia";1017;5755.0;67101;"01008000501";"Durana";363;"-2,63878816";"42,89116171";528
7;"01";"Asparrena";1633;6533.0;53712;"01009000401";"Araia";1243;"-2,31670754";"42,88968768";602
8;"01";"Ayala/Aiara";2951;14096.0;64211;"01010002001";"Arespalditza/Respaldiza";423;"-3,04306746";"43,07768283";306
9;"01";"Baños de Ebro/Mañueta";287;950.0;18666;"01011000101";"Baños de Ebro/Mañueta";287;"-2,67863583";"42,52925602";421
10;"01";"Barrundia";895;9742.0;57432;"01013001401";"Ozaeta";203;"-2,49407452";"42,91537538";575
11;"01";"Berantevilla";465;3574.0;38696;"01014000101";"Berantevilla";316;"-2,85971414";"42,68227191";471
12;"01";"Bernedo";538;13048.0;85964;"01016000301";"Bernedo";162;"-2,49825439";"42,62676989";710
13;"01";"Campezo/Kanpezu";1081;8536.0;53461;"01017000501";"Santa Cruz de Campezo/Santikurutze Kanpezu";795;"-2,35207693";"42,66971209";578
14;"01";"Zigoitia";1802;10209.0;48687;"01018000901";"Gopegi";280;"-2,73033002";"42,96210609";585
15;"01";"Kripan";175;1251.0;15980;"01019000101";"Kripan";175;"-2,51621636";"42,59082439";691
16;"01";"Kuartango";396;8431.0;44380;"01020002001";"Zuhatzu Kuartango";169;"-2,88438243";"42,87006411";594
